date,persons_first_vaccinated,model,covid_region,scenario,pop,persons_first_vaccinated_raw,persons_first_vaccinated_perc,remaining_susceptible,daily_first_vacc,daily_first_vacc_perc
2021-01-10,0,predicted,1,continued_trend,660965,0,0,660965,0,0
2021-01-11,0,predicted,1,continued_trend,660965,0,0,660965,0,0
2021-01-12,0,predicted,1,continued_trend,660965,0,0,660965,0,0
2021-01-13,0,predicted,1,continued_trend,660965,0,0,660965,0,0
2021-01-14,0,predicted,1,continued_trend,660965,0,0,660965,0,0
2021-01-15,0,predicted,1,continued_trend,660965,0,0,660965,0,0
2021-01-16,0,predicted,1,continued_trend,660965,0,0,660965,0,0
2021-01-17,0,predicted,1,continued_trend,660965,0,0,660965,0,0
2021-01-18,0,predicted,1,continued_trend,660965,0,0,660965,0,0
2021-01-19,0,predicted,1,continued_trend,660965,0,0,660965,0,0
2021-01-20,0,predicted,1,continued_trend,660965,0,0,660965,0,0
2021-01-21,0,predicted,1,continued_trend,660965,0,0,660965,0,0
2021-01-22,0,predicted,1,continued_trend,660965,0,0,660965,0,0
2021-01-23,0,predicted,1,continued_trend,660965,0,0,660965,0,0
2021-01-24,0,predicted,1,continued_trend,660965,0,0,660965,0,0
2021-01-25,0,predicted,1,continued_trend,660965,0,0,660965,0,0
2021-01-26,0,predicted,1,continued_trend,660965,0,0,660965,0,0
2021-01-27,0,predicted,1,continued_trend,660965,0,0,660965,0,0
2021-01-28,0,predicted,1,continued_trend,660965,0,0,660965,0,0
2021-01-29,0,predicted,1,continued_trend,660965,0,0,660965,0,0
2021-01-30,0,predicted,1,continued_trend,660965,0,0,660965,0,0
2021-01-31,0,predicted,1,continued_trend,660965,0,0,660965,0,0
2021-02-01,0,predicted,1,continued_trend,660965,0,0,660965,0,0
2021-02-02,0,predicted,1,continued_trend,660965,0,0,660965,0,0
2021-02-03,0,predicted,1,continued_trend,660965,0,0,660965,0,0
2021-02-04,0,predicted,1,continued_trend,660965,0,0,660965,0,0
2021-02-05,0,predicted,1,continued_trend,660965,0,0,660965,0,0
2021-02-06,0,predicted,1,continued_trend,660965,0,0,660965,0,0
2021-02-07,766.372799172998,predicted,1,continued_trend,660965,766.372799172998,0.00115947561394778,660198.627200827,766.372799172998,0.00116082155823671
2021-02-08,3043.40759202093,predicted,1,continued_trend,660965,3043.40759202093,0.00460449129987356,657921.592407979,2277.03479284793,0.00346095160749176
2021-02-09,5320.44238487631,predicted,1,continued_trend,660965,5320.44238487631,0.00804950698581061,655644.557615124,2277.03479285538,0.00347297139342999
2021-02-10,7597.47717772424,predicted,1,continued_trend,660965,7597.47717772424,0.0114945226717364,653367.522822276,2277.03479284793,0.00348507495905534
2021-02-11,9874.51197057962,predicted,1,continued_trend,660965,9874.51197057962,0.0149395383576734,651090.488029421,2277.03479285538,0.00349726318341252
2021-02-12,12151.5467634276,predicted,1,continued_trend,660965,12151.5467634276,0.0183845540435992,648813.453236573,2277.03479284793,0.00350953695779436
2021-02-13,14428.5815562829,predicted,1,continued_trend,660965,14428.5815562829,0.0218295697295363,646536.418443717,2277.03479285538,0.0035218971861422
2021-02-14,16705.6163491309,predicted,1,continued_trend,660965,16705.6163491309,0.025274585415462,644259.383650869,2277.03479284793,0.00353434478508408
2021-02-15,18982.6511419863,predicted,1,continued_trend,660965,18982.6511419863,0.0287196011013991,641982.348858014,2277.03479285538,0.00354688068434572
2021-02-16,21259.6859348342,predicted,1,continued_trend,660965,21259.6859348342,0.0321646167873249,639705.314065166,2277.03479284793,0.00355950582679695
2021-02-17,23536.7207276896,predicted,1,continued_trend,660965,23536.7207276896,0.0356096324732619,637428.279272311,2277.03479285538,0.00357222116887385
2021-02-18,25813.7555205375,predicted,1,continued_trend,660965,25813.7555205375,0.0390546481591877,635151.244479463,2277.03479284793,0.00358502768063388
2021-02-19,28090.7903133929,predicted,1,continued_trend,660965,28090.7903133929,0.0424996638451248,632874.209686607,2277.03479285538,0.00359792634618963
2021-02-20,30367.8251062408,predicted,1,continued_trend,660965,30367.8251062408,0.0459446795310505,630597.174893759,2277.03479284793,0.00361091816377319
2021-02-21,32644.8598990962,predicted,1,continued_trend,660965,32644.8598990962,0.0493896952169876,628320.140100904,2277.03479285538,0.00362400414618208
2021-02-22,34921.8946919441,predicted,1,continued_trend,660965,34921.8946919441,0.0528347109029134,626043.105308056,2277.03479284793,0.00363718532085339
2021-02-23,37198.9294847995,predicted,1,continued_trend,660965,37198.9294847995,0.0562797265888504,623766.070515201,2277.03479285538,0.00365046273032238
2021-02-24,39475.9642776474,predicted,1,continued_trend,660965,39475.9642776474,0.0597247422747762,621489.035722353,2277.03479284793,0.00366383743230699
2021-02-25,41752.9990704954,predicted,1,continued_trend,660965,41752.9990704954,0.063169757960702,619212.000929505,2277.03479284793,0.00367731050016772
2021-02-26,44030.0338633508,predicted,1,continued_trend,660965,44030.0338633508,0.066614773646639,616934.966136649,2277.03479285538,0.00369088302307544
2021-02-27,46307.0686561987,predicted,1,continued_trend,660965,46307.0686561987,0.0700597893325648,614657.931343801,2277.03479284793,0.00370455610630411
2021-02-28,48584.1034490541,predicted,1,continued_trend,660965,48584.1034490541,0.0735048050185018,612380.896550946,2277.03479285538,0.00371833087165211
2021-03-01,50861.138241902,predicted,1,continued_trend,660965,50861.138241902,0.0769498207044276,610103.861758098,2277.03479284793,0.00373220845756712
2021-03-02,53138.1730347574,predicted,1,continued_trend,660965,53138.1730347574,0.0803948363903647,607826.826965243,2277.03479285538,0.00374619001965438
2021-03-03,55415.2078276053,predicted,1,continued_trend,660965,55415.2078276053,0.0838398520762904,605549.792172395,2277.03479284793,0.00376027673080215
2021-03-04,57692.2426204607,predicted,1,continued_trend,660965,57692.2426204607,0.0872848677622275,603272.757379539,2277.03479285538,0.00377446978170576
2021-03-05,59969.2774133086,predicted,1,continued_trend,660965,59969.2774133086,0.0907298834481533,600995.722586691,2277.03479284793,0.00378877038100629
2021-03-06,62246.312206164,predicted,1,continued_trend,660965,62246.312206164,0.0941748991340903,598718.687793836,2277.03479285538,0.00380317975583127
2021-03-07,64523.3469990119,predicted,1,continued_trend,660965,64523.3469990119,0.0976199148200161,596441.653000988,2277.03479284793,0.00381769915194732
2021-03-08,66800.3817918673,predicted,1,continued_trend,660965,66800.3817918673,0.101064930505953,594164.618208133,2277.03479285538,0.00383232983431832
2021-03-09,69077.4165847153,predicted,1,continued_trend,660965,69077.4165847153,0.104509946191879,591887.583415285,2277.03479284793,0.00384707308727289
2021-03-10,71354.4513775706,predicted,1,continued_trend,660965,71354.4513775706,0.107954961877816,589610.548622429,2277.03479285538,0.00386193021508089
2021-03-11,73631.4861704186,predicted,1,continued_trend,660965,73631.4861704186,0.111399977563742,587333.513829582,2277.03479284793,0.00387690254213661
2021-03-12,75908.520963274,predicted,1,continued_trend,660965,75908.520963274,0.114844993249679,585056.479036726,2277.03479285538,0.00389199141355453
2021-03-13,78185.5557561219,predicted,1,continued_trend,660965,78185.5557561219,0.118290008935605,582779.444243878,2277.03479284793,0.00390719819536918
2021-03-14,80462.5905489773,predicted,1,continued_trend,660965,80462.5905489773,0.121735024621542,580502.409451023,2277.03479285538,0.00392252427515117
2021-03-15,82739.6253418252,predicted,1,continued_trend,660965,82739.6253418252,0.125180040307467,578225.374658175,2277.03479284793,0.00393797106222471
2021-03-16,85016.6601346731,predicted,1,continued_trend,660965,85016.6601346731,0.128625055993393,575948.339865327,2277.03479284793,0.00395353998829195
2021-03-17,87293.6949275285,predicted,1,continued_trend,660965,87293.6949275285,0.13207007167933,573671.305072472,2277.03479285538,0.00396923250774714
2021-03-18,89570.7297203764,predicted,1,continued_trend,660965,89570.7297203764,0.135515087365256,571394.270279624,2277.03479284793,0.0039850500981286
2021-03-19,91847.7645132318,predicted,1,continued_trend,660965,91847.7645132318,0.138960103051193,569117.235486768,2277.03479285538,0.00400099426071295
2021-03-20,94124.7993060798,predicted,1,continued_trend,660965,94124.7993060798,0.142405118737119,566840.20069392,2277.03479284793,0.00401706652079441
2021-03-21,96401.8340989351,predicted,1,continued_trend,660965,96401.8340989351,0.145850134423056,564563.165901065,2277.03479285538,0.00403326842838063
2021-03-22,98678.8688917831,predicted,1,continued_trend,660965,98678.8688917831,0.149295150108982,562286.131108217,2277.03479284793,0.00404960155848072
2021-03-23,100955.903684638,predicted,1,continued_trend,660965,100955.903684638,0.152740165794919,560009.096315362,2277.03479285538,0.00406606751182681
2021-03-24,103232.938477486,predicted,1,continued_trend,660965,103232.938477486,0.156185181480844,557732.061522514,2277.03479284793,0.00408266791518496
2021-03-25,105509.973270342,predicted,1,continued_trend,660965,105509.973270342,0.159630197166782,555455.026729658,2277.03479285538,0.00409940442210387
